x,y,z,cycle,goal
-0.486255,-0.711873,0.505272,0,Pick
-0.483554,-0.711956,0.508223,0,Pick
-0.475465,-0.712085,0.517105,0,Pick
-0.462040,-0.711893,0.532003,0,Pick
-0.443402,-0.710768,0.553045,0,Pick
-0.419797,-0.707852,0.580375,0,Pick
-0.391670,-0.702047,0.614118,0,Pick
-0.359766,-0.692052,0.654330,0,Pick
-0.325244,-0.676429,0.700929,0,Pick
-0.289792,-0.653719,0.753605,0,Pick
-0.255740,-0.622634,0.811718,0,Pick
-0.226101,-0.582329,0.874173,0,Pick
-0.204531,-0.532752,0.939296,0,Pick
-0.195111,-0.475056,1.004716,0,Pick
-0.201918,-0.411989,1.067292,0,Pick
-0.228331,-0.348180,1.123095,0,Pick
-0.275944,-0.290282,1.167421,0,Pick
-0.340493,-0.247558,1.194612,0,Pick
-0.415218,-0.225190,1.202637,0,Pick
-0.492944,-0.225340,1.191134,0,Pick
-0.566177,-0.247963,1.160582,0,Pick
-0.625949,-0.289000,1.114266,0,Pick
-0.667361,-0.341120,1.057632,0,Pick
-0.690436,-0.397953,0.995062,0,Pick
-0.697121,-0.454409,0.930250,0,Pick
-0.690451,-0.506904,0.866129,0,Pick
-0.673871,-0.553273,0.804901,0,Pick
-0.650751,-0.592535,0.748121,0,Pick
-0.624105,-0.624582,0.696810,0,Pick
-0.596452,-0.649884,0.651575,0,Pick
-0.569788,-0.669240,0.612724,0,Pick
-0.545627,-0.683577,0.580360,0,Pick
-0.525069,-0.693816,0.554463,0,Pick
-0.508883,-0.700775,0.534949,0,Pick
-0.497576,-0.705111,0.521718,0,Pick
-0.491456,-0.707287,0.514684,0,Pick
-0.490338,-0.707672,0.513408,0,Pick
-0.490338,-0.707672,0.513408,0,Place
-0.489381,-0.707139,0.514474,0,Place
-0.486496,-0.705521,0.517676,0,Place
-0.481653,-0.702762,0.523023,0,Place
-0.474801,-0.698770,0.530529,0,Place
-0.465870,-0.693419,0.540210,0,Place
-0.454780,-0.686553,0.552088,0,Place
-0.441440,-0.677990,0.566179,0,Place
-0.425756,-0.667524,0.582496,0,Place
-0.407638,-0.654936,0.601038,0,Place
-0.387004,-0.639997,0.621784,0,Place
-0.363793,-0.622481,0.644683,0,Place
-0.337968,-0.602164,0.669639,0,Place
-0.309529,-0.578843,0.696494,0,Place
-0.278513,-0.552334,0.725015,0,Place
-0.245005,-0.522483,0.754868,0,Place
-0.209236,-0.489260,0.785519,0,Place
-0.173012,-0.454189,0.815101,0,Place
-0.137073,-0.417952,0.842770,0,Place
-0.101557,-0.380682,0.868192,0,Place
-0.066582,-0.342486,0.891051,0,Place
-0.032241,-0.303447,0.911050,0,Place
0.001391,-0.263627,0.927924,0,Place
0.034259,-0.223069,0.941441,0,Place
0.066321,-0.181798,0.951413,0,Place
0.097552,-0.139831,0.957698,0,Place
0.127935,-0.097175,0.960202,0,Place
0.157461,-0.053841,0.958884,0,Place
0.186125,-0.009838,0.953754,0,Place
0.213922,0.034808,0.944877,0,Place
0.240846,0.080060,0.932364,0,Place
0.266888,0.125859,0.916374,0,Place
0.292028,0.172121,0.897110,0,Place
0.316243,0.218731,0.874808,0,Place
0.339497,0.265546,0.849736,0,Place
0.361745,0.312387,0.822186,0,Place
0.382931,0.359040,0.792463,0,Place
0.402544,0.404211,0.761622,0,Place
0.419860,0.445867,0.731419,0,Place
0.435016,0.483887,0.702359,0,Place
0.448172,0.518250,0.674812,0,Place
0.459492,0.548995,0.649051,0,Place
0.469142,0.576215,0.625274,0,Place
0.477286,0.600044,0.603619,0,Place
0.484083,0.620648,0.584177,0,Place
0.489684,0.638209,0.567008,0,Place
0.494229,0.652917,0.552147,0,Place
0.497843,0.664955,0.539613,0,Place
0.500634,0.674497,0.529416,0,Place
0.502693,0.681691,0.521558,0,Place
0.504092,0.686659,0.516039,0,Place
0.504879,0.689490,0.512859,0,Place
0.505091,0.690257,0.511993,0,Place
0.505091,0.690257,0.511993,1,Pick
0.505027,0.689621,0.511996,1,Pick
0.504829,0.687700,0.512031,1,Pick
0.504487,0.684456,0.512177,1,Pick
0.503982,0.679839,0.512568,1,Pick
0.503294,0.673791,0.513391,1,Pick
0.502403,0.666271,0.514890,1,Pick
0.501294,0.657274,0.517355,1,Pick
0.499962,0.646857,0.521114,1,Pick
0.498411,0.635164,0.526509,1,Pick
0.496656,0.622449,0.533864,1,Pick
0.494712,0.609089,0.543437,1,Pick
0.492582,0.595582,0.555367,1,Pick
0.490232,0.582517,0.569608,1,Pick
0.487556,0.570518,0.585876,1,Pick
0.484334,0.560142,0.603614,1,Pick
0.480206,0.551776,0.621951,1,Pick
0.474890,0.545657,0.639161,1,Pick
0.468024,0.541218,0.654323,1,Pick
0.459203,0.537564,0.667124,1,Pick
0.448088,0.533729,0.677583,1,Pick
0.434435,0.528776,0.686048,1,Pick
0.418135,0.521898,0.693162,1,Pick
0.399223,0.512500,0.699802,1,Pick
0.377891,0.500274,0.706992,1,Pick
0.354479,0.485232,0.715798,1,Pick
0.329456,0.467719,0.727226,1,Pick
0.303393,0.448393,0.742113,1,Pick
0.276967,0.428200,0.761007,1,Pick
0.251941,0.409071,0.783062,1,Pick
0.229295,0.392294,0.807088,1,Pick
0.209265,0.378392,0.832085,1,Pick
0.191897,0.367538,0.857066,1,Pick
0.177101,0.359625,0.881169,1,Pick
0.164691,0.354342,0.903710,1,Pick
0.154434,0.351261,0.924203,1,Pick
0.146073,0.349904,0.942351,1,Pick
0.139356,0.349796,0.958011,1,Pick
0.134050,0.350499,0.971163,1,Pick
0.129819,0.351717,0.981861,1,Pick
0.123154,0.355252,0.990600,1,Pick
0.112412,0.361780,0.997532,1,Pick
0.097349,0.370918,1.002231,1,Pick
0.077579,0.382120,1.004289,1,Pick
0.052182,0.395177,1.005500,1,Pick
0.020399,0.409645,1.006569,1,Pick
-0.018401,0.424705,1.007263,1,Pick
-0.064863,0.439271,1.007288,1,Pick
-0.119573,0.451935,1.006291,1,Pick
-0.182957,0.460920,1.003850,1,Pick
-0.255141,0.464054,0.999483,1,Pick
-0.335770,0.458779,0.992646,1,Pick
-0.423795,0.442224,0.982755,1,Pick
-0.517243,0.411370,0.969207,1,Pick
-0.613007,0.363332,0.951413,1,Pick
-0.705008,0.297228,0.929314,1,Pick
-0.785343,0.216384,0.903853,1,Pick
-0.850779,0.123327,0.875388,1,Pick
-0.898828,0.021207,0.844316,1,Pick
-0.927775,-0.086286,0.811097,1,Pick
-0.936804,-0.195118,0.776241,1,Pick
-0.926801,-0.297390,0.741617,1,Pick
-0.901714,-0.387532,0.708774,1,Pick
-0.865956,-0.464321,0.678161,1,Pick
-0.823535,-0.527694,0.650066,1,Pick
-0.777857,-0.578427,0.624640,1,Pick
-0.731659,-0.617830,0.601932,1,Pick
-0.687024,-0.647490,0.581913,1,Pick
-0.645458,-0.669084,0.564507,1,Pick
-0.607987,-0.684233,0.549604,1,Pick
-0.575268,-0.694420,0.537087,1,Pick
-0.547682,-0.700940,0.526833,1,Pick
-0.525424,-0.704874,0.518733,1,Pick
-0.508569,-0.707081,0.512690,1,Pick
-0.497129,-0.708204,0.508630,1,Pick
-0.491090,-0.708676,0.506499,1,Pick
-0.490052,-0.708749,0.506134,1,Pick
-0.490052,-0.708749,0.506134,2,Pick
-0.489559,-0.708905,0.506206,2,Pick
-0.488081,-0.709374,0.506438,2,Pick
-0.485622,-0.710159,0.506864,2,Pick
-0.482189,-0.711261,0.507547,2,Pick
