x,y,z
-0.825743,-0.232900,0.187800
-0.825065,-0.236983,0.189796
-0.822875,-0.249194,0.195783
-0.818710,-0.269406,0.205754
-0.811805,-0.297374,0.219697
-0.801110,-0.332678,0.237587
-0.785323,-0.374646,0.259378
-0.762944,-0.422273,0.284998
-0.732358,-0.474114,0.314337
-0.691961,-0.528188,0.347234
-0.641291,-0.581030,0.382837
-0.584360,-0.626613,0.418129
-0.522705,-0.663668,0.452660
-0.457499,-0.691631,0.486333
-0.389987,-0.710103,0.519051
-0.321459,-0.718864,0.550723
-0.253229,-0.717877,0.581262
-0.186602,-0.707287,0.610583
-0.122853,-0.687423,0.638608
-0.063199,-0.658791,0.665262
-0.008773,-0.622059,0.690477
0.039397,-0.578050,0.714190
0.080410,-0.527722,0.736341
0.113510,-0.472148,0.756880
0.138101,-0.412498,0.775760
0.153759,-0.350007,0.792941
0.160239,-0.285959,0.808389
0.157482,-0.221652,0.822076
0.145612,-0.158378,0.833982
0.124936,-0.097392,0.844092
0.095931,-0.039890,0.852398
0.059242,0.013020,0.858899
0.015657,0.060336,0.863599
-0.033901,0.101182,0.866511
-0.088401,0.134829,0.867652
-0.146724,0.160705,0.867046
-0.207684,0.178408,0.864725
-0.270060,0.187709,0.860724
-0.332616,0.188562,0.855086
-0.394130,0.181094,0.847859
-0.453419,0.165609,0.839098
-0.509363,0.142573,0.828860
-0.560927,0.112606,0.817211
-0.607186,0.076465,0.804219
-0.647335,0.035030,0.789957
-0.680715,-0.010722,0.774503
-0.706815,-0.059735,0.757939
-0.725288,-0.110899,0.740349
-0.735952,-0.163073,0.721822
-0.738793,-0.215112,0.702449
-0.733961,-0.265889,0.682323
-0.721768,-0.314321,0.661540
-0.702674,-0.359388,0.640197
-0.677279,-0.400160,0.618393
-0.647495,-0.434632,0.597024
-0.617158,-0.460833,0.577757
-0.588105,-0.479968,0.560757
-0.561635,-0.493384,0.546102
-0.538638,-0.502377,0.533834
-0.519694,-0.508103,0.523971
-0.505155,-0.511532,0.516519
-0.495216,-0.513411,0.511472
-0.489977,-0.514253,0.508825
-0.489109,-0.514383,0.508387
